Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
"0x19deed509cf56b46877df6584dd0e59d5e8d651923e9902b552a4bc4677ef19e","(Pending)","Withdraw Rewards","(Pending)","2024-05-05 02:24:41","0x55f772c952f9d040c2b1d2e896ad4bd2c84d70ee","","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0 ETH","(Pending)"
"0xaaf2d6fb2a0b9ed061278dc0df08210dad8647a660061249ca3b2314e1c4165e","Success","Transfer","19816848","2024-05-07 07:58:47","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.02011979 ETH","0.00015638"
"0xf0a1b05b5e161c47df579f5c755f46000f7adc1e9e2562def92d6b6ce2b0b167","Success","Transfer","19816847","2024-05-07 07:58:35","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.02250844 ETH","0.00015287"
"0x1f4e6d91dae552f2152257451959445c1e38d6019c21a1d8178bb49b303bc5e5","Success","Transfer","19816843","2024-05-07 07:57:47","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.02772826 ETH","0.00013622"
"0x854477cdc64dce8f917c32bbcb6b1a010b6d7304944556507c462cc8960b92ca","Success","Transfer","19816840","2024-05-07 07:57:11","0xa83114a443da1cecefc50368531cace9f37fcccb","","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.01746902 ETH","0.00015159"
"0xf69b29bc721b40f476e7ff66d9cab5669e47387be4cbf327ef603a2da0426e7a","Success","Transfer","19816835","2024-05-07 07:56:11","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.02674939 ETH","0.00016166"
"0x7aef19b6c8b244f42c5966b4bafd456076aa7e90fcc36de45ba16f48501c5769","Success","Transfer","19816834","2024-05-07 07:55:59","0xa83114a443da1cecefc50368531cace9f37fcccb","","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.01108755 ETH","0.00016535"
"0x606c4f104651bad2a3bfcb8a293c252550d7d588df54d955364563dba8cf8dd9","Success","Transfer","19816832","2024-05-07 07:55:23","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.02671129 ETH","0.00014802"
"0x6ae2c9cc255bfa2f66bb4fcbe44f02a65a960cad416d6dac30fec2528becd5ca","Success","Transfer","19816829","2024-05-07 07:54:47","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.02561959 ETH","0.00014099"
"0xc0f2328d3270f6e8816a77500b9e5fb3b04351c2ac71326eeeeec11be53fd4f7","Success","Transfer","19816821","2024-05-07 07:53:11","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","0x388C818CA8B9251b393131C08a736A67ccB19297","Lido: Execution Layer Rewards Vault","0.05020004 ETH","0.00013883"
